Code;Typ;Klasse;Bewerb;Leistung;Wind;Name;Vorname;Nation;YOB;RNAT;RORT;Datum;Geschlecht;Umgebung
PR;;MT11;100;0:10.82;1.2;Ghavelas;Athanasios;GRE;1999;JPN;Tokyo;2021-09-02;Male;Outdoor
PR;;MT12;100;0:10.43;0.2;Kashafali;Salum Ageze;NOR;1993;JPN;Tokyo;2021-08-29;Male;Outdoor
PR;;MT13;100;0:10.42;-0.1;Athmani;Skander Djamil;ALG;1992;FRA;Paris;2024-09-01;Male;Outdoor
PR;;MT33;100;0:16.61;0.8;Almutairi;Ahmad;KUW;1994;BRA;Rio de Janeiro;2016-09-10;Male;Outdoor
PR;;MT34;100;0:14.76;-0.8;Rattana;Chaiwat;THA;1996;FRA;Paris;2024-09-02;Male;Outdoor
PR;;MT35;100;0:11.39;0.0;Safronov;Dmitrii;RPC;1995;JPN;Tokyo;2021-08-30;Male;Outdoor
PR;;MT36;100;0:11.85;0.8;Turner;James;AUS;1996;FRA;Paris;2024-09-07;Male;Outdoor
PR;;MT37;100;0:10.95;0.3;Mayhugh;Nick;USA;1996;JPN;Tokyo;2021-08-27;Male;Outdoor
PR;;MT38;100;0:10.64;0.9;Blackwell;Jaydin;USA;2004;FRA;Paris;2024-08-31;Male;Outdoor
PR;;MT42;100;0:12.04;-0.5;Prokhorov;Anton;RPC;1992;JPN;Tokyo;2021-08-30;Male;Outdoor
PR;;MT44;100;0:11.03;0.3;Mhlongo;Mpumelelo;RSA;1994;JPN;Tokyo;2021-08-30;Male;Outdoor
PR;;MT45;100;0:10.94;0.2;Nascimento;Yohansson;BRA;1987;GBR;London;2012-09-06;Male;Outdoor
PR;;MT46;100;0:10.53;0.3;Ferreira dos Santos;Petrucio;BRA;1996;JPN;Tokyo;2021-08-27;Male;Outdoor
PR;;MT47;100;0:10.53;0.3;Ferreira dos Santos;Petrucio;BRA;1996;JPN;Tokyo;2021-08-27;Male;Outdoor
PR;;MT51;100;0:19.63;-0.3;Fournie;Cody;CAN;1989;FRA;Paris;2024-09-06;Male;Outdoor
PR;;MT52;100;0:16.21;-0.2;Carabin;Maxime;BEL;2000;FRA;Paris;2024-09-05;Male;Outdoor
PR;;MT53;100;0:14.20;0.8;Paeyo;Pongsakorn;THA;1996;JPN;Tokyo;2021-09-01;Male;Outdoor
PR;;MT54;100;0:13.63;1.0;Tahti;Leo-Pekka;FIN;1983;GBR;London;2012-09-01;Male;Outdoor
PR;;MT62;100;0:10.79;0.3;Floors;Johannes;GER;1995;JPN;Tokyo;2021-08-30;Male;Outdoor
PR;;MT63;100;0:12.05;0.2;Mabote;Puseletso Michael;RSA;2005;FRA;Paris;2024-09-01;Male;Outdoor
PR;;MT64;100;0:10.65;0.2;Guity Guity;Sherman Isidro;CRC;1996;FRA;Paris;2024-09-02;Male;Outdoor
PR;;MT11;200;0:22.44;0.0;Shikongo;Ananias;NAM;1986;BRA;Rio de Janeiro;2016-09-15;Male;Outdoor
PR;;MT12;200;0:21.56;1.0;Michalski;Mateusz;POL;1987;GBR;London;2012-09-08;Male;Outdoor
PR;;MT13;200;0:21.05;-0.3;Smyth;Jason;IRL;1987;GBR;London;2012-09-07;Male;Outdoor
PR;;MT33;200;0:31.02;-0.3;Almutairi;Ahmad;KUW;1994;GBR;London;2012-09-04;Male;Outdoor
PR;;MT34;200;0:27.98;-0.3;Ktila;Walid;TUN;1985;GBR;London;2012-09-04;Male;Outdoor
PR;;MT35;200;0:23.00;0.3;Safronov;Dmitrii;RPC;1995;JPN;Tokyo;2021-09-04;Male;Outdoor
PR;;MT36;200;0:24.65;-0.2;So;Wa Wai;HKG;1981;CHN;Beijing;2008-09-15;Male;Outdoor
PR;;MT37;200;0:21.91;1.0;Mayhugh;Nick;USA;1996;JPN;Tokyo;2021-09-04;Male;Outdoor
PR;;MT38;200;0:21.82;-0.2;O'Hanlon;Evan;AUS;1988;GBR;London;2012-09-08;Male;Outdoor
PR;;MT44;200;0:22.62;0.5;Mhlongo;Mpumelelo;RSA;1994;FRA;Paris;2024-09-07;Male;Outdoor
PR;;MT45;200;0:22.05;0.1;Nascimento;Yohansson;BRA;1987;GBR;London;2012-09-02;Male;Outdoor
PR;;MT46;200;0:21.74;0.8;Francis;Heath;AUS;1981;CHN;Beijing;2008-09-09;Male;Outdoor
PR;;MT47;200;0:21.74;0.8;Francis;Heath;AUS;1981;CHN;Beijing;2008-09-09;Male;Outdoor
PR;;MT51;200;0:36.81;0.5;Piispanen;Toni;FIN;1976;JPN;Tokyo;2021-08-31;Male;Outdoor
PR;;MT52;200;0:30.25;0.0;Martin;Raymond;USA;1994;GBR;London;2012-09-08;Male;Outdoor
PR;;MT53;200;0:25.61;0.2;Li;Huzhao;CHN;1989;GBR;London;2012-09-07;Male;Outdoor
PR;;MT54;200;0:24.18;0.6;Zhang;Lixin;CHN;1983;CHN;Beijing;2008-09-12;Male;Outdoor
PR;;MT61;200;0:23.59;0.0;Mahlangu;Ntando;RSA;2002;JPN;Tokyo;2021-09-03;Male;Outdoor
PR;;MT64;200;0:21.32;0.5;Guity Guity;Sherman Isidro;CRC;1996;FRA;Paris;2024-09-07;Male;Outdoor
PR;;MT11;400;0:50.03;;Armando;Jose Sayovo;ANG;1973;GRE;Athens;2004-09-25;Male;Outdoor
PR;;MT12;400;0:47.59;;Hili;Abdeslam;MAR;1996;JPN;Tokyo;2021-09-02;Male;Outdoor
PR;;MT13;400;0:46.70;;Athmani;Skander Djamil;ALG;1992;JPN;Tokyo;2021-09-02;Male;Outdoor
PR;;MT20;400;0:47.22;;Tavares Martins;Daniel;BRA;1996;BRA;Rio de Janeiro;2016-09-09;Male;Outdoor
PR;;MT33;400;1:03.77;;Jones;Lachlan;AUS;1977;AUS;Sydney;2000-10-24;Male;Outdoor
PR;;MT34;400;0:54.17;;Maeba;Kazuya;JPN;;AUS;Sydney;2000-10-26;Male;Outdoor
PR;;MT35;400;1:06.30;;Rivero;J;ESP;;USA;Atlanta;1996-08-21;Male;Outdoor
PR;;MT36;400;0:51.54;;Turner;James;AUS;1996;FRA;Paris;2024-09-03;Male;Outdoor
PR;;MT37;400;0:49.34;;Vdovin;Andrei;RPC;1994;JPN;Tokyo;2021-09-01;Male;Outdoor
PR;;MT38;400;0:48.49;;Blackwell;Jaydin;USA;2004;FRA;Paris;2024-09-03;Male;Outdoor
PR;;MT45;400;0:49.21;;Nascimento;Yohansson;BRA;1987;GBR;London;2012-09-04;Male;Outdoor
PR;;MT46;400;0:46.65;;El Haddaoui;Aymane;MAR;2000;FRA;Paris;2024-09-07;Male;Outdoor
PR;;MT47;400;0:46.65;;El Haddaoui;Aymane;MAR;2000;FRA;Paris;2024-09-07;Male;Outdoor
PR;;MT51;400;1:20.82;;Genyn;Peter;BEL;1976;BRA;Rio de Janeiro;2016-09-17;Male;Outdoor
PR;;MT52;400;0:54.48;;Carabin;Maxime;BEL;2000;FRA;Paris;2024-08-30;Male;Outdoor
PR;;MT53;400;0:46.61;;Paeyo;Pongsakorn;THA;1996;JPN;Tokyo;2021-08-29;Male;Outdoor
PR;;MT54;400;0:44.55;;Dai;Yunqiang;CHN;1990;FRA;Paris;2024-09-01;Male;Outdoor
PR;;MT62;400;0:45.85;;Floors;Johannes;GER;1995;JPN;Tokyo;2021-09-03;Male;Outdoor
PR;;MT64;400;0:49.66;;Seitis;Michail;GRE;1987;BRA;Rio de Janeiro;2016-09-15;Male;Outdoor
PR;;MT11;800;2:02.33;;Matthews;Rob;GBR;1961;USA;Stoke Mandeville, New York;1984-06-20;Male;Outdoor
PR;;MT12;800;1:52.13;;Zhiou;Abderrahim;TUN;1985;CHN;Beijing;2008-09-10;Male;Outdoor
PR;;MT13;800;1:54.78;;Mame;Abdelillah;MAR;1975;CHN;Beijing;2008-09-15;Male;Outdoor
PR;;MT33;800;2:45.98;;Rempel;Jeremy;CAN;;ESP;Barcelona;1992-09-10;Male;Outdoor
PR;;MT34;800;1:38.57;;Wang;Yang;CHN;2003;FRA;Paris;2024-09-06;Male;Outdoor
PR;;MT36;800;2:02.39;;Turner;James;AUS;1996;BRA;Rio de Janeiro;2016-09-17;Male;Outdoor
PR;;MT37;800;1:57.22;;McKillop;Michael;IRL;1990;GBR;London;2012-09-01;Male;Outdoor
PR;;MT38;800;1:58.87;;Pringle;Malcolm;RSA;1978;GRE;Athens;2004-09-20;Male;Outdoor
PR;;MT44;800;2:08.79;;Andrews;Daniel;USA;1981;AUS;Sydney;2000-10-26;Male;Outdoor
PR;;MT45;800;2:00.36;;Fernandez;Jose;ESP;;USA;Atlanta;1996-08-19;Male;Outdoor
PR;;MT46;800;1:51.82;;Matzinger;Gunther;AUT;1987;GBR;London;2012-09-08;Male;Outdoor
PR;;MT51;800;2:45.78;;Dodson;Bart;USA;;ESP;Barcelona;1992-09-06;Male;Outdoor
PR;;MT52;800;1:58.68;;Ez-Zine;Abdellah;MAR;1967;GRE;Athens;2004-09-25;Male;Outdoor
PR;;MT53;800;1:36.07;;Paeyo;Pongsakorn;THA;1996;JPN;Tokyo;2021-09-02;Male;Outdoor
PR;;MT54;800;1:28.20;;Jin;Hua;CHN;1999;FRA;Paris;2024-09-05;Male;Outdoor
PR;;MT11;1K5;3:55.82;;Jacques;Yeltsin;BRA;1991;FRA;Paris;2024-09-03;Male;Outdoor
PR;;MT12;1K5;3:44.43;;Kostin;Aleksandr;NPA;1995;FRA;Paris;2024-09-03;Male;Outdoor
PR;;MT13;1K5;3:48.29;;Baka;Abdellatif;ALG;1994;BRA;Rio de Janeiro;2016-09-11;Male;Outdoor
PR;;MT20;1K5;3:45.40;;Sandilands;Ben;GBR;2003;FRA;Paris;2024-09-06;Male;Outdoor
PR;;MT36;1K5;4:37.75;;Arefyev;Artem;RUS;1984;GRE;Athens;2004-09-26;Male;Outdoor
PR;;MT37;1K5;4:06.95;;Stanley;Liam;CAN;1997;JPN;Tokyo;2021-09-04;Male;Outdoor
PR;;MT38;1K5;3:58.92;;Tucker;Nate;CAN;1995;JPN;Tokyo;2021-09-04;Male;Outdoor
PR;;MT45;1K5;4:08.26;;Meza Zempoaltecatl;Pedro;MEX;1975;GRE;Athens;2004-09-20;Male;Outdoor
PR;;MT46;1K5;3:50.15;;Tarbei;Abraham;KEN;1986;GBR;London;2012-09-04;Male;Outdoor
PR;;MT51;1K5;5:13.43;;Devidi;Alvise;ITA;1966;AUS;Sydney;2000-10-26;Male;Outdoor
PR;;MT52;1K5;3:29.13;;Sato;Tomoki;JPN;1989;JPN;Tokyo;2021-08-29;Male;Outdoor
PR;;MT53;1K5;2:49.55;;Hug;Marcel;SUI;1986;JPN;Tokyo;2021-08-31;Male;Outdoor
PR;;MT54;1K5;2:49.55;;Hug;Marcel;SUI;1986;JPN;Tokyo;2021-08-31;Male;Outdoor
PR;;MT11;5K0;14:48.85;;Agripino dos Santos;Julio Cesar;BRA;1991;FRA;Paris;2024-08-30;Male;Outdoor
PR;;MT12;5K0;13:53.76;;Chentouf;El Amin;MAR;1981;GBR;London;2012-09-03;Male;Outdoor
PR;;MT13;5K0;14:33.33;;Aloui;Bilel;TUN;1990;BRA;Rio de Janeiro;2016-09-15;Male;Outdoor
PR;;MT35;5K0;17:42.42;;Sands;James;GBR;;ESP;Barcelona;1992-09-12;Male;Outdoor
PR;;MT36;5K0;18:23.52;;Da Silva;Claudio;BRA;;ESP;Barcelona;1992-09-12;Male;Outdoor
PR;;MT37;5K0;16:34.36;;Parker;Joseph;USA;;USA;Atlanta;1996-08-18;Male;Outdoor
PR;;MT38;5K0;16:53.19;;Hompanera Alvarez;Ivan;ESP;1969;AUS;Sydney;2000-10-27;Male;Outdoor
PR;;MT45;5K0;15:37.84;;Meza Zempoaltecatl;Pedro;MEX;1975;GRE;Athens;2004-09-27;Male;Outdoor
PR;;MT46;5K0;14:20.88;;Tarbei;Abraham;KEN;1986;CHN;Beijing;2008-09-13;Male;Outdoor
PR;;MT51;5K0;17:40.02;;Dodson;Bart;USA;;ESP;Barcelona;1992-09-11;Male;Outdoor
PR;;MT52;5K0;13:10.86;;Takada;Toshihiro;JPN;1965;GRE;Athens;2004-09-19;Male;Outdoor
PR;;MT53;5K0;9:53.26;;Hug;Marcel;SUI;1986;JPN;Tokyo;2021-08-27;Male;Outdoor
PR;;MT54;5K0;9:53.26;;Hug;Marcel;SUI;1986;JPN;Tokyo;2021-08-27;Male;Outdoor
PR;;MT11;10K;31:37.25;;Wanyoike;Henry;KEN;1974;GRE;Athens;2004-09-19;Male;Outdoor
PR;;MT12;10K;31:42.97;;Kirwa;Henry;KEN;1973;CHN;Beijing;2008-09-14;Male;Outdoor
PR;;MT13;10K;32:05.17;;Bartkenas;Kestutis;LTU;1967;GRE;Athens;2004-09-20;Male;Outdoor
PR;;MT46;10K;30:15.35;;Conde;Jose Javier;ESP;1964;ESP;Barcelona;1992-09-07;Male;Outdoor
PR;;MT53;10K;20:51.86;;Jeannot;Joel;FRA;1965;GRE;Athens;2004-09-21;Male;Outdoor
PR;;MT54;10K;20:51.86;;Jeannot;Joel;FRA;1965;GRE;Athens;2004-09-21;Male;Outdoor
PR;;MT11;HOC;1.59;;Sacchetto;Italo;ITA;;KOR;Seoul;1988-10-19;Male;Outdoor
PR;;MT12;HOC;2.02;;Sivitski;Ruslan;BLR;1973;AUS;Sydney;2000-10-20;Male;Outdoor
PR;;MT13;HOC;1.98;;Orcutt;J;USA;;ESP;Barcelona;1992-09-06;Male;Outdoor
PR;;MT42;HOC;1.88;;Kumar;Sharad;IND;1992;FRA;Paris;2024-09-03;Male;Outdoor
PR;;MT44;HOC;2.19;;Lepiato;Maciej;POL;1988;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT45;HOC;1.68;;Berg;Matthias;GER;1961;USA;Stoke Mandeville, New York;1984-06-27;Male;Outdoor
PR;;MT46;HOC;2.15;;Townsend;Roderick;USA;1992;JPN;Tokyo;2021-08-29;Male;Outdoor
